Joint_A_lwr,Joint_A_upr,Joint_B_lwr,Joint_B_upr,Joint_C_lwr,Joint_C_mid,Joint_C_upr,Joint_D_lwr,Joint_D_mid,Joint_D_upr,车身重量,扭转刚度,扭转模态,弯曲刚度,弯曲模态
6,8,7,2,4,9,9,3,7,1,344.129,8024.1,23.7350546,7038.74,35.07937551
4,8,1,5,1,9,6,6,4,9,349.242,6806.31,21.66270005,6802.57,34.55700996
5,2,4,6,7,7,5,7,2,4,345.365,9403.61,22.8574879,6354.82,34.60560779
9,9,9,2,7,3,8,5,9,3,340.749,6916.52,21.39950611,6799.38,35.75816804
4,8,2,7,4,5,3,8,4,9,349.101,6951.72,21.72556712,8003.26,37.27039501
4,7,8,9,6,2,8,3,2,1,334.856,7210.29,23.02068654,5980.2,33.88242087
3,2,1,6,2,5,3,1,4,9,347.801,8174.21,21.07242316,7363.75,36.34631989
9,6,3,6,4,8,1,4,4,9,340.522,8572.19,25.73622579,6777.23,36.14431806
5,3,3,2,2,7,5,8,2,8,342.893,7859.02,21.75184974,5954.62,32.11107718
3,8,5,2,8,2,8,8,2,6,345.325,7210.59,21.52349373,6758.58,34.12377983
6,7,6,7,2,6,4,6,8,8,344.397,7199.56,21.52121049,6235.19,33.2966913
5,6,3,8,6,4,2,9,9,2,356.835,9593.3,26.35621616,6656.42,35.82937449
9,8,1,1,6,9,4,8,1,3,340.822,7631.68,23.52933553,6905.28,38.97246822
2,3,5,5,9,5,7,4,6,2,358.531,8333.34,19.2805638,8378.57,38.13796927
6,7,1,5,5,4,6,9,6,8,356.72,6828.66,19.97297172,6622.46,32.54382765
2,6,9,3,7,4,2,5,6,9,349.745,8395.9,24.86438502,6470.54,33.8639151
9,5,3,3,5,3,5,4,9,5,350.673,8518.74,22.86478966,7012.74,35.22856743
6,5,2,8,1,8,1,2,7,3,362.296,10538.92607,27.33476441,6911.89,34.55534821
6,3,4,9,8,9,2,8,1,9,348.031,9033.2,25.26169349,6890.25,35.29609845
6,6,3,3,9,5,6,2,3,4,354.83,7983.06,20.23541008,7595.18,36.56065243
4,8,6,2,8,8,6,3,6,1,337.179,7920.51,23.60767903,6965.56,35.03169198
4,2,2,1,9,8,4,6,8,6,357.418,9723.33,25.14979476,7762.07,39.2924401
1,4,2,4,2,8,8,7,8,9,355.178,8460.88,19.24848169,7305.01,35.82550432
2,6,6,2,9,8,3,2,5,1,356.163,8867.17,23.14466988,7787.65,36.62242765
7,6,6,4,5,3,1,2,8,8,349.381,8777.95,25.73088728,6855.55,35.81146847
